feature,coef,abs_coef
Diagnosis,-2.463567047477275,2.463567047477275
MemoryComplaints,0.6702584689600614,0.6702584689600614
ADL,-0.6078676706641012,0.6078676706641012
FunctionalAssessment,-0.5254609277452225,0.5254609277452225
BehavioralProblems,0.4616153358065982,0.4616153358065982
CardiovascularDisease,0.13885112112244868,0.13885112112244868
Diabetes,-0.12533519028333676,0.12533519028333676
DiastolicBP,-0.07903958982006663,0.07903958982006663
Disorientation,0.0731429245509426,0.0731429245509426
Hypertension,0.04252628845109259,0.04252628845109259
CholesterolTriglycerides,0.013595098774735269,0.013595098774735269
DietQuality,0.0025769367522999,0.0025769367522999
Age,-0.0,0.0
Gender,0.0,0.0
Ethnicity,-0.0,0.0
