feature,importance
Diagnosis,0.08158319835964062
FunctionalAssessment,0.07515278427362247
ADL,0.07356866751385441
SleepQuality,0.05994925047873826
PhysicalActivity,0.057447301955387234
CholesterolHDL,0.05564659519375492
CholesterolTriglycerides,0.05549214967070566
BMI,0.055200608417909115
CholesterolTotal,0.05476333732455395
DietQuality,0.05357863383567529
CholesterolLDL,0.05313278478139902
AlcoholConsumption,0.05075197823152952
SystolicBP,0.047327527307455076
DiastolicBP,0.046726779225130584
Age,0.04261533697563812
EducationLevel,0.01726060540527915
Ethnicity,0.014379381962025133
MemoryComplaints,0.013712402776784408
BehavioralProblems,0.009030099145735907
Gender,0.008319885605233472
