feature,coef,abs_coef
Diagnosis,-2.749909269360468,2.749909269360468
MemoryComplaints,0.8746565440835807,0.8746565440835807
ADL,-0.8279279662234867,0.8279279662234867
FunctionalAssessment,-0.7401885971341224,0.7401885971341224
BehavioralProblems,0.6791101825797821,0.6791101825797821
CardiovascularDisease,0.2835720716232883,0.2835720716232883
Diabetes,-0.25953670796119943,0.25953670796119943
Disorientation,0.2356172111649494,0.2356172111649494
DiastolicBP,-0.22699315094614445,0.22699315094614445
Hypertension,0.19798694644821788,0.19798694644821788
CholesterolTriglycerides,0.1940532816117029,0.1940532816117029
Age,-0.18174816097242275,0.18174816097242275
PersonalityChanges,0.16836086584857762,0.16836086584857762
DietQuality,0.16745607051259073,0.16745607051259073
Gender,0.15693781873256932,0.15693781873256932
